location,location_s,features,bath,bed,toilet,price,description,page,loc
sosanya soluyi gbagada lagos,sosanya soluyi,3 bed 2 bath 3 toilet,2,3,3,850000,3 bedroom Flat / Apartment for rent Sosanya Soluyi Gbagada Lagos ... Old. Renovated. Security Doors. All Room Ensuit. Big Compound. Pop Ceiling. Security. Parking Space. ...,1,gbagada
millenuim ups gbagada lagos,millenuim ups,1 bed 1 bath 1 toilet,1,1,1,650000,1 bedroom mini flat Mini flat Flat / Apartment for rent Millenuim/UPS Gbagada Lagos ... ...,1,gbagada
alapere gbagada lagos,alapere,2 bed 2 bath 2 toilet,2,2,2,600000,"2bed at Alapere, all rooms ensuit ... ...",1,gbagada
medina gbagada lagos,medina,3 bed 3 bath 4 toilet,3,3,4,1500000,3 bedroom Flat / Apartment for rent Medina Gbagada Lagos ... ...,1,gbagada
adeola atunrase medina gbagada lagos,adeola atunrase medina,3 bed 3 bath 3 toilet,3,3,3,1500000,3 bedroom House for rent Adeola Atunrase Medina Gbagada Lagos ... Old. Renovated. Big Compound. Security. Parking Space. 24 Hours Security. ...,1,gbagada
phase 2 gbagada lagos,phase 2,3 bed 3 bath 4 toilet,3,3,4,1500000,3 bedroom flat upstairs apartment ... ...,1,gbagada
gbagada lagos,,1 bed 1 bath  toilet,1,1, ,450000,1 bedroom mini flat Mini flat Flat / Apartment for rent Gbagada Lagos ... ...,1,gbagada
ifako gbagada gbagada lagos,ifako,2 bed 2 bath 2 toilet,2,2,2,800000,"Decent 2 bedrooms ground flat in a block of 4, 2toilet , 2 bathroom and all rooms are ensuite ... All Room Ensuit. Pop Ceiling. Security. Parking Space. ...",1,gbagada
millenuim ups gbagada lagos,millenuim ups,3 bed 3 bath 4 toilet,3,3,4,1800000,two tenants in the compound ... Security. Parking Space. ...,1,gbagada
ifako gbagada gbagada lagos,ifako,3 bed 3 bath 4 toilet,3,3,4,1600000,3 bedroom Self Contain Flat / Apartment for rent Ifako-gbagada Gbagada Lagos ... New. Security Doors. Pop Ceiling. Security. Parking Space. ...,1,gbagada
ifako ifako gbagada gbagada lagos,ifako ifako,2 bed 2 bath 3 toilet,2,2,3,1000000,"2 bedroom apartment in a block of 4, upstairs flat ... All Room Ensuit. Pop Ceiling. Drainage System. Security. Parking Space. ...",1,gbagada
ilawe ifako gbagada gbagada lagos,ilawe ifako,4 bed 4 bath 4 toilet,4,4,4,1500000,4 bedroom Semi Detached Duplex House for rent Ilawe Ifako-gbagada Gbagada Lagos ... Old. Renovated. Pop Ceiling. Security. Parking Space. ...,1,gbagada
pedro-gbagada area gbagada lagos,pedro,2 bed 2 bath 3 toilet,2,2,3,1300000,"Serviced 2 Bedroom all rooms en-suite flat with Prepaid Meter & Car Park. The Parlour & 2 bedrooms are furnished with Airconditioning System each, Water Heater, Gas Cooker, Kitchen Cabinets, Kitchen Storage Area, Wardrobes in all ... ...",1,gbagada
chevron clinic gbagada lagos,chevron clinic,1 bed 0 bath 0 toilet,0,1,0,300000,"1 room self contain for rent by Chevron Clinic Gbagada LaKindly call the phone numbers below for more info; APRO GLOBAL REAL ESTATES Web:[email protected] com.ng. Tel: 01-7620139 Mobile: 080-51-595-336,080-29-481-639 070-63-822-217, 070-82-974-088 ... ...",1,gbagada
atunrase medina gbagada lagos,atunrase medina,1 bed  bath  toilet, ,1, ,500000,"Mini flat for rent at Atunrase Estate Gbagada Lagos Rent: N500,000 APRO GLOBAL REAL ESTATES Web:[email protected] com.ng. Tel: 01-7620139 Mobile: 080-51-595-336, 080-29-481-639 070-63-822-217, 070-82-974-088 ... ...",1,gbagada
"community street ,odo eran,iyana oworo gbagada lagos","community street ,odo eran,iyana oworo",1 bed 1 bath 1 toilet,1,1,1,400000,"For lease: Newly built mini flat with kitchen,toilet, balcony, prepaid meter at community street,odo-eran,iyana oworo, gbagada,Lagos. Rent:N400k SC: N30K Caution:N20k ... New. Parking Space. Pop Ceiling. Security. ...",1,gbagada
sawmill gbagada gbagada lagos,sawmill,2 bed 2 bath 3 toilet,2,2,3,900000,"Tastefully finished 2brm flat with all rooms ensuite and guest toilet, relatively new, upstairs flat at LOCATION:, Sawmill, Gbagada. Price: 900k, 1yr rent. ... Big Compound. Parking Space. All Room Ensuit. Security. Pop Ceiling. ...",1,gbagada
off pedro gbagada ifako gbagada gbagada lagos,off pedro,2 bed 2 bath 3 toilet,2,2,3,1000000,"Spacious and newly Built 2bedroom with modern finishing all rooms ensuite, with pop finishing, prepaid meter etc LOCATION: olaniyi street of pedro road by Gbagada PHASE 2 Price: 1m per annum ... New. Big Compound. Security. Jacuzzi. All Room Ensuit. Parking Space. Pop Ceiling. ...",2,gbagada
ifako ifako gbagada gbagada lagos,ifako ifako,4 bed 4 bath 4 toilet,4,4,4,2500000,*Just out now* Decent 5 bedroom duplex with mini flat bq at josodat estate sholuyi gbagada self compound Rent: 2.5m per annum 1 yr rent only. ... Renovated. Old. ...,2,gbagada
ajayi aina ifako gbagada gbagada lagos,ajayi aina ifako,3 bed 3 bath 3 toilet,3,3,3,1500000,"*Fresh* Spacious 3 bedrooms duplex common compound, all rooms ensuite with guest toilet, family lounge n POP @ off Ajayi Aina ifako Gbagada 1.5m 1yr ... Old. Cheap. Furnished. Renovated. ...",2,gbagada
hu phase 2 gbagada lagos,hu phase 2,3 bed 3 bath 3 toilet,3,3,3,900000,Lovely 3bed at gbagada phr 2 900k ... Cheap. Furnished. Security. 24 Hours Security. Big Compound. Security Doors. Parking Space. Pop Ceiling. ...,2,gbagada
off ajayi aino ifako gbagada gbagada lagos,off ajayi aino ifako,3 bed 3 bath 4 toilet,3,3,4,1500000,A spacious 3 bedroom duplex at ifako gbagada with all rooms ensuit plus guest toilet all round tiles with dinning area 2 sitting pop finishing common compound for more info call or Whatsapp me ... Dry. Renovated. Security. Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. ...,2,gbagada
soluyi gbagada lagos,soluyi,2 bed 1 bath 1 toilet,1,2,1,450000,This property is located in gbagada in soluyi it's consist of a two bedroom with a toilet and bath. Price tag is 450k maybe 400k can fly. For a year rent other charges follow suites INSPECTION ... ...,2,gbagada
soluyi gbagada lagos,soluyi,2 bed 1 bath 1 toilet,1,2,1,45000,2 bedroom Flat / Apartment for rent Soluyi Gbagada Lagos ... Renovated. Security. 24 Hours Security. Supermarket Nearby. Restaurants Nearby. Street Lights. Security Doors. Parking Space. ...,2,gbagada
josodat estate soluyi gbagada lagos,josodat estate soluyi,3 bed 3 bath 4 toilet,3,3,4,1500000,"Very Spacious 3bedroom flat all rooms ensuite with guest toilet, wardrobe, kitchen cabinet in a block of 4 flat. Ground floor vacant ... 24 Hours Security. Big Compound. All Room Ensuit. Street Lights. Security Doors. ...",2,gbagada
off ajayi aina in a close ifako gbagada gbagada lagos,off ajayi aina in a close ifako,3 bed 3 bath 4 toilet,3,3,4,1500000,"Spacious 3 bedrooms duplex common compound, all rooms ensuite with guest toilet, family lounge n POP @ off Ajayi Aina ifako Gbagada 1.5m 1yr ... Security. 24 Hours Security. Supermarket Nearby. Big Compound. All Room Ensuit. Street Lights. Security Doors. Pop Ceiling. ...",2,gbagada
shadia estate soluyi gbagada lagos,shadia estate soluyi,3 bed 2 bath 3 toilet,2,3,3,1300000,"A very nice Upstairs 3brm flat with 3t, 2b with pre paid meter at Shadia Estate, behind Chevron Staff Club and Clinc, Sholuyi, Gbagada. 1.3m, 1yr rent. ... Drainage System. Security. Big Compound. Security Doors. Parking Space. ...",2,gbagada
off dehinde estate ifako gbagada ifako gbagada gbagada lagos,off dehinde estate ifako,2 bed 2 bath 2 toilet,2,2,2,500000,"A decent, clean 2bedroom flat, all round tiles,fitted kitchen cabinet, ample parking parking, spacious rooms with wardrobe, clean and borehole water, constant light supply, in a decent area of Gbagaga N500k ... Dry. Renovated. Drainage System. Security. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Supermarket Nearby. Street Lights. ...",2,gbagada
off yetunde brown ifako gbagada gbagada lagos,off yetunde brown ifako,3 bed  bath  toilet, ,3, ,1500000,STILL AVAILABLE Lovely 3bedroom terrace duplex with all ensuite 4 tenants to share compound off yetunde brown street by toydam school Ifako Gbagada. Price: 1.5m ... New. Big Compound. All Room Ensuit. Parking Space. Pop Ceiling. ...,2,gbagada
"off labake street, mayaki oworo, gbagada oworonshoki gbagada lagos","off labake street, mayaki oworo,",1 bed 1 bath 1 toilet,1,1,1,200000,"A decent roomself contain, all round tiles, ample parking space, well painted, and newly renovated, in a decent area of Oworo Gbagada, N200K 1yr ... Dry. Cheap. Renovated. Drainage System. Security. Children Play Ground. Big Compound. 24 Hours Security. Security Doors. All Room Ensuit. Parking Space. Supermarket Nearby. Street Lights. Fast Internet. ...",2,gbagada
close to mobil gbagada lagos,close to mobil,2 bed 0 bath 0 toilet,0,2,0,650000,Just out ?? Mini 2bedroom flat office space at beside Mobil Gbagada Phase 2. 650k a year rent. Call : Haybee Consults [redacted] [redacted] ... ...,2,gbagada
